Task,Workload,Memory,Deadline,Weight,ArrivalTime
T821,468,14,433.49,4,420.83
T822,744,15,442.34,5,422.51
T823,402,7,434.27,2,422.63
T824,576,13,434.37,5,422.98
T825,621,10,439.06,5,423.54
T826,489,11,434.12,3,424.46
T827,742,14,442.23,5,425.01
T828,209,14,430.56,4,425.24
T829,446,10,437.2,1,425.46
T830,519,17,436.48,5,425.53
T831,272,24,432.62,1,425.55
T832,638,21,440.2,4,428.12
T833,580,24,447.62,5,428.8
T834,456,24,441.75,2,429.91
T835,752,23,452.9,2,430.08
T836,259,11,438.54,5,430.19
T837,786,15,443.92,1,430.25
T838,406,8,439.13,5,431.34
T839,292,11,441.13,5,431.69
T840,458,24,443.51,4,431.77
T841,550,22,450.18,4,432.1
T842,709,18,444.64,4,432.23
T843,757,22,448.86,5,432.37
T844,711,24,446.58,4,432.75
T845,715,21,452.63,3,433.23
T846,354,13,444.84,1,433.24
T847,779,12,451.55,2,433.28
T848,561,10,448.33,5,433.37
T849,578,19,448.04,2,433.42
T850,233,11,439.81,5,433.51
T851,273,6,439.59,5,434.35
T852,544,8,446.84,3,434.48
T853,758,13,449.93,2,434.64
T854,708,18,452.3,3,435.27
T855,441,15,443.89,4,435.99
T856,450,19,445.0,1,436.09
T857,336,15,443.75,5,437.07
T858,569,15,456.08,4,437.43
T859,321,10,448.21,2,437.74
T860,662,16,457.12,4,437.8
T861,797,11,464.47,3,438.37
T862,742,21,455.23,3,438.58
T863,624,14,451.72,4,438.69
T864,723,7,457.4,1,439.1
T865,577,16,455.75,4,439.2
T866,301,14,445.64,5,439.82
T867,769,7,456.78,5,440.99
T868,686,10,456.16,3,440.99
T869,533,16,452.86,3,441.33
T870,566,17,456.42,3,441.52
T871,354,21,450.07,5,441.76
T872,355,11,450.53,2,441.88
T873,772,22,459.55,4,443.21
T874,614,24,461.93,4,444.15
T875,542,15,461.22,4,444.38
T876,298,10,453.8,1,445.09
T877,217,13,448.76,3,445.1
T878,254,7,449.95,2,445.14
T879,698,10,467.9,4,445.52
T880,248,22,453.55,1,446.72
T881,784,22,464.82,5,447.12
T882,658,11,461.74,2,447.3
T883,383,23,456.53,4,447.92
T884,556,16,463.36,5,448.15
T885,233,13,452.54,2,448.2
T886,800,8,467.5,1,448.77
T887,529,17,463.09,5,449.85
T888,485,7,466.37,3,450.63
T889,395,11,462.85,3,451.18
T890,446,21,466.55,2,451.9
T891,702,21,472.22,5,452.79
T892,356,15,464.98,5,453.74
T893,555,16,463.08,5,453.76
T894,259,12,461.22,2,454.19
T895,448,20,468.77,3,454.77
T896,235,13,460.95,3,454.88
T897,573,17,467.36,4,454.99
T898,690,13,477.09,5,456.45
T899,589,8,472.61,5,456.71
T900,314,18,462.98,5,457.29
T901,248,14,463.05,3,457.8
T902,231,22,463.97,5,458.04
T903,343,13,468.35,4,459.33
T904,616,16,472.63,1,459.43
T905,288,16,465.79,1,460.27
T906,568,17,472.23,3,460.36
T907,758,21,474.74,2,460.54
T908,486,13,477.15,2,461.66
T909,614,16,478.09,4,463.61
T910,636,11,476.81,2,463.7
T911,231,20,469.64,3,463.89
T912,200,21,468.92,4,464.17
T913,699,21,486.12,2,465.81
T914,571,8,478.4,4,465.81
T915,240,6,473.79,1,465.85
T916,691,6,481.26,3,465.97
T917,729,19,481.87,5,466.03
T918,283,19,472.69,4,466.23
T919,394,21,477.44,5,466.48
T920,409,13,478.85,1,466.89
T921,325,10,472.71,3,466.95
T922,765,24,482.43,3,467.47
T923,527,10,482.47,1,467.93
T924,410,21,476.85,5,467.95
T925,452,8,481.66,5,468.5
T926,211,24,473.74,3,468.69
T927,206,15,476.12,3,470.0
T928,637,12,484.36,3,471.21
T929,436,8,483.01,4,471.56
T930,587,18,487.34,2,472.51
T931,716,17,490.1,1,472.96
T932,365,22,481.13,5,473.11
T933,487,24,483.56,1,473.23
T934,797,19,499.84,5,473.48
T935,750,14,494.48,5,474.81
T936,217,23,481.46,3,474.84
T937,445,6,483.53,1,475.35
T938,535,19,489.19,5,475.63
T939,498,11,490.21,1,476.13
T940,305,21,485.66,3,476.17
T941,592,6,490.32,4,476.45
T942,551,10,490.12,4,476.94
T943,206,22,481.32,3,477.5
T944,734,21,496.46,1,478.28
T945,217,12,482.64,1,478.65
T946,471,15,491.96,1,479.01
T947,251,23,483.26,1,479.07
T948,750,24,500.48,2,479.07
T949,208,16,484.46,3,479.38
T950,293,20,485.95,4,479.49
T951,487,22,491.89,1,480.06
T952,461,11,493.42,3,480.89
T953,743,24,500.49,4,481.18
T954,690,14,499.72,2,481.56
T955,769,24,496.52,1,481.79
T956,554,11,495.55,4,482.14
T957,745,19,495.33,1,482.22
T958,426,24,495.23,3,484.49
T959,243,21,492.25,5,485.67
T960,568,13,502.31,4,486.13
T961,480,23,497.91,3,487.66
T962,624,23,505.26,2,487.76
T963,218,8,492.89,2,488.15
T964,637,8,508.49,2,490.01
T965,645,10,505.74,5,490.44
T966,619,18,504.78,5,490.63
T967,568,13,505.02,2,490.97
T968,516,18,508.75,4,491.56
T969,304,21,500.25,5,492.23
T970,329,14,502.77,2,493.65
T971,580,17,512.81,5,494.32
T972,689,21,515.92,5,494.37
T973,741,24,518.72,1,494.62
T974,729,11,507.46,5,495.24
T975,229,22,499.19,4,495.24
T976,593,13,512.82,5,495.41
T977,316,12,502.64,2,495.44
T978,774,19,518.63,4,495.46
T979,320,17,504.47,3,495.66
T980,719,13,515.49,5,496.26
T981,649,8,514.73,5,497.45
T982,551,13,514.47,3,498.43
T983,548,7,516.05,2,498.44
T984,285,12,508.25,5,499.51
T985,377,12,506.55,2,499.6
T986,619,21,518.01,3,500.35
T987,588,8,517.63,2,500.87
T988,513,17,511.63,1,500.87
T989,530,8,512.99,3,501.69
T990,634,15,516.03,2,501.8
T991,510,6,520.0,3,503.99
T992,331,24,514.96,3,504.04
T993,434,6,513.34,3,504.37
T994,529,7,518.92,1,505.02
T995,743,13,523.55,1,505.42
T996,389,21,513.4,1,506.69
T997,769,14,519.66,4,506.79
T998,630,6,527.11,4,507.3
T999,557,22,517.41,1,507.98
T1000,759,19,529.97,4,508.37
T1001,598,15,527.9,4,508.74
T1002,204,16,515.62,4,508.88
T1003,481,13,518.47,4,509.0
T1004,577,7,525.82,2,509.55
T1005,669,12,521.44,3,509.79
T1006,539,21,524.86,5,509.96
T1007,203,11,515.07,2,510.17
T1008,682,14,531.99,4,510.92
T1009,625,20,525.96,2,511.04
T1010,631,21,525.03,3,512.09
T1011,301,7,518.04,3,512.61
T1012,540,24,527.97,3,513.56
T1013,210,17,520.15,3,513.9
T1014,673,13,528.96,4,514.38
T1015,380,10,524.24,1,514.66
T1016,516,15,530.23,2,515.38
T1017,536,17,531.15,4,515.43
T1018,409,16,523.62,4,516.75
T1019,778,20,541.46,4,516.89
T1020,490,18,530.95,4,518.16
T1021,203,24,525.42,1,518.87
T1022,765,19,536.97,1,519.33
T1023,641,16,537.49,1,520.03
T1024,580,14,538.42,1,520.39
T1025,240,11,526.39,5,521.14
T1026,458,23,534.3,4,521.18
T1027,631,14,541.75,4,521.19
T1028,552,16,537.49,2,521.44
T1029,756,14,534.49,4,521.69
T1030,201,19,526.96,5,522.09
T1031,524,6,538.02,3,522.14
T1032,431,6,535.42,5,522.43
T1033,221,6,527.68,5,522.48
T1034,780,21,544.32,1,523.03
T1035,630,21,534.19,1,523.66
T1036,768,19,545.74,4,523.85
T1037,214,23,531.11,2,524.44
T1038,252,11,532.05,1,524.48
T1039,360,12,532.18,3,525.81
T1040,400,10,539.04,2,526.39
T1041,649,21,546.11,3,526.47
T1042,748,19,547.85,3,526.5
T1043,344,22,535.53,1,526.58
T1044,313,24,534.02,5,527.16
T1045,781,12,545.76,3,528.44
T1046,603,7,546.95,1,528.83
T1047,533,6,546.0,4,529.24
T1048,771,12,545.18,5,529.31
T1049,545,18,540.76,1,530.74
T1050,328,18,537.45,5,531.01
T1051,537,7,540.68,4,531.3
T1052,685,22,554.54,1,532.18
T1053,386,7,541.19,1,532.48
T1054,738,10,549.17,4,533.9
T1055,238,24,539.82,3,534.31
T1056,339,20,545.02,3,534.68
T1057,398,14,548.53,1,535.35
T1058,773,7,560.96,2,535.9
T1059,249,18,543.2,1,536.17
T1060,516,11,547.56,4,536.31
T1061,388,11,548.66,1,536.54
T1062,775,19,563.58,3,539.2
T1063,629,18,560.38,5,540.35
T1064,567,15,552.96,2,540.52
T1065,204,22,544.78,2,540.72
T1066,272,16,546.85,2,540.73
T1067,329,10,549.78,3,541.01
T1068,647,10,555.41,2,541.58
T1069,624,14,561.82,3,543.25
T1070,472,6,556.92,1,544.97
T1071,281,18,553.69,1,545.13
T1072,770,18,561.14,2,545.56
T1073,747,24,561.59,2,545.63
T1074,566,21,558.46,5,545.97
T1075,408,12,556.94,1,547.54
T1076,338,18,557.52,5,547.65
T1077,454,21,559.48,5,548.06
T1078,745,7,568.67,1,548.27
T1079,445,12,563.2,3,548.62
T1080,480,7,564.19,2,548.97
T1081,520,20,562.61,1,550.0
T1082,505,10,568.33,4,552.5
T1083,217,17,559.55,1,552.82
T1084,515,12,563.82,3,552.87
T1085,562,18,565.39,1,552.9
T1086,239,21,560.98,4,553.11
T1087,682,7,570.62,5,553.39
T1088,446,18,563.98,5,553.45
T1089,695,6,573.08,3,553.61
T1090,786,17,578.21,4,554.04
T1091,437,8,563.88,4,554.09
T1092,347,8,564.9,4,554.28
T1093,540,18,564.97,3,554.28
T1094,460,12,565.69,2,554.39
T1095,665,24,569.57,1,554.8
T1096,525,16,567.9,5,554.83
T1097,393,20,566.58,1,555.94
T1098,615,17,577.96,2,557.88
T1099,619,11,578.27,5,557.93
T1100,405,19,566.53,2,557.99
T1101,414,16,566.18,5,558.99
T1102,222,15,564.9,5,559.11
T1103,711,6,572.83,5,559.21
T1104,348,22,566.94,5,559.84
T1105,656,11,580.29,3,559.86
T1106,311,22,568.63,1,559.92
T1107,793,14,579.4,5,560.08
T1108,496,15,569.72,1,560.11
T1109,598,18,570.72,1,560.35
T1110,351,8,570.7,3,560.91
T1111,724,12,585.02,5,561.73
T1112,458,20,577.73,2,563.01
T1113,563,24,573.57,1,563.51
T1114,565,6,575.18,3,564.03
T1115,236,17,570.1,5,565.87
T1116,451,13,575.37,5,566.33
T1117,476,6,575.57,5,566.35
T1118,690,20,578.21,4,566.46
T1119,735,6,579.73,4,566.64
T1120,632,16,584.75,2,566.98
T1121,685,21,580.31,4,567.23
T1122,334,22,576.64,1,567.29
T1123,541,24,582.31,4,567.52
T1124,735,13,592.39,4,570.66
T1125,306,7,577.61,5,570.69
T1126,294,18,578.51,4,570.96
T1127,291,22,578.55,5,571.52
T1128,615,20,585.5,5,571.54
T1129,601,20,590.65,5,571.65
T1130,659,7,591.82,4,572.27
T1131,358,22,581.95,2,572.76
T1132,485,22,587.48,3,572.95
T1133,229,7,577.1,5,573.12
T1134,465,23,588.73,2,573.28
T1135,692,12,588.95,5,573.37
T1136,675,21,591.81,2,573.63
T1137,444,11,584.32,3,574.02
T1138,209,12,580.56,4,575.44
T1139,244,24,580.31,5,575.47
T1140,269,6,580.76,4,575.87
T1141,767,20,599.2,2,576.02
T1142,442,11,589.48,5,576.39
T1143,619,13,593.22,5,576.79
T1144,296,24,582.83,1,576.97
T1145,246,6,583.21,1,577.18
T1146,357,16,585.22,3,577.78
T1147,747,20,599.22,5,578.0
T1148,585,23,590.41,4,578.58
T1149,713,6,598.56,5,578.62
T1150,298,16,585.63,2,578.87
T1151,289,15,587.01,2,579.35
T1152,748,11,597.15,5,579.91
T1153,488,22,596.57,5,580.89
T1154,610,12,595.7,5,581.1
T1155,467,7,595.93,1,582.09
T1156,649,23,602.46,2,582.33
T1157,756,12,605.09,4,582.49
T1158,663,7,596.91,2,582.57
T1159,467,18,596.51,3,583.43
T1160,282,18,592.35,1,583.94
T1161,204,20,591.09,1,584.36
T1162,443,19,594.37,1,584.91
T1163,721,19,598.76,1,585.69
T1164,699,8,603.19,5,588.37
T1165,276,14,594.75,4,588.82
T1166,642,21,609.62,2,589.08
T1167,213,10,594.86,3,589.64
T1168,503,15,603.89,5,589.84
T1169,288,8,599.6,1,590.09
T1170,418,24,602.3,2,590.24
T1171,287,21,598.53,4,591.29
T1172,768,14,610.48,2,591.44
T1173,478,18,601.02,5,591.7
T1174,657,8,605.31,2,592.99
T1175,698,15,616.25,5,593.01
T1176,562,15,604.12,3,593.07
T1177,360,21,604.34,2,593.35
T1178,308,14,603.34,2,593.8
T1179,562,6,605.31,1,593.84
T1180,464,19,604.9,2,595.19
T1181,766,6,609.8,2,595.95
T1182,300,18,601.26,5,596.12
T1183,264,12,602.68,2,596.38
T1184,256,23,604.94,3,596.47
T1185,459,6,611.01,4,596.56
T1186,202,20,600.93,1,596.99
T1187,332,13,607.85,1,597.36
T1188,457,16,605.87,5,597.78
T1189,316,20,608.6,1,598.27
T1190,767,20,616.82,5,600.12
T1191,275,6,608.76,3,600.69
T1192,311,12,608.53,4,601.1
T1193,393,14,612.66,2,601.73
T1194,213,15,607.52,3,602.45
T1195,231,12,609.99,3,603.07
T1196,463,21,611.78,1,603.62
T1197,509,6,616.96,2,607.88
T1198,644,23,627.66,1,607.97
T1199,236,7,613.44,1,608.54
T1200,529,23,623.42,4,608.61
T1201,287,12,619.48,1,610.4
T1202,583,7,627.0,3,611.02
T1203,438,15,623.58,2,611.23
T1204,644,18,626.17,4,611.62
T1205,261,7,617.94,3,612.52
T1206,722,13,633.37,3,613.11
T1207,342,18,619.36,2,613.57
T1208,238,22,621.13,5,613.6
T1209,562,16,632.14,5,614.64
T1210,590,14,633.66,1,614.91
T1211,326,14,621.44,5,614.93
T1212,343,8,623.21,3,616.51
T1213,798,17,641.92,2,616.98
T1214,607,18,630.06,2,617.24
T1215,621,15,629.03,3,617.5
T1216,443,14,631.42,3,618.5
T1217,268,24,627.35,3,619.58
T1218,327,24,628.84,5,619.64
T1219,261,22,628.14,4,619.76
T1220,212,17,626.62,4,620.84
T1221,272,14,626.73,1,621.22
T1222,332,13,631.71,1,621.4
T1223,671,20,634.95,4,621.53
T1224,580,20,631.5,1,621.63
T1225,485,18,637.46,3,622.15
T1226,707,14,639.17,2,622.6
T1227,457,14,632.09,3,623.69
T1228,770,8,640.76,4,624.47
T1229,741,15,639.89,3,625.25
T1230,579,22,636.93,5,625.76
T1231,724,8,649.13,4,625.79
T1232,417,8,633.57,3,625.93
T1233,265,21,630.37,4,625.93
T1234,474,10,634.21,1,625.99
T1235,791,14,645.09,3,626.08
T1236,495,17,639.75,2,626.73
T1237,634,24,644.54,1,627.21
T1238,725,23,650.91,1,627.67
T1239,397,11,641.22,1,628.67
T1240,367,17,640.43,5,629.0
T1241,549,21,640.85,1,629.14
T1242,769,12,647.25,5,629.47
T1243,356,16,636.22,3,629.7
T1244,448,11,645.03,4,630.11
T1245,294,16,638.47,1,630.34
T1246,563,13,643.21,3,630.73
T1247,762,20,646.77,5,630.84
T1248,699,24,647.32,5,630.86
T1249,248,6,637.82,2,630.9
T1250,743,16,649.34,4,631.29
T1251,306,11,638.93,4,631.39
T1252,694,15,654.64,1,632.01
T1253,622,11,645.95,3,632.03
T1254,235,21,640.47,2,633.35
T1255,756,22,652.56,4,633.44
T1256,644,22,654.29,2,633.46
T1257,415,21,644.14,5,635.1
T1258,698,20,655.77,1,636.4
T1259,678,23,655.46,1,636.8
T1260,328,17,644.06,2,637.2
T1261,717,6,654.62,1,637.95
T1262,355,6,648.38,1,638.23
T1263,548,15,649.36,5,639.06
T1264,234,8,645.25,2,640.03
T1265,527,22,652.44,5,640.76
T1266,474,15,654.99,3,640.93
T1267,444,21,651.72,3,641.75
T1268,385,7,655.34,3,644.49
T1269,399,14,652.2,5,644.74
T1270,653,14,659.91,1,645.13
T1271,611,24,655.4,1,645.16
T1272,273,17,650.14,3,645.41
T1273,639,6,666.16,5,645.68
T1274,273,7,653.26,2,646.04
T1275,653,8,662.25,3,646.52
T1276,705,20,668.46,2,648.39
T1277,757,6,666.83,4,648.43
T1278,677,8,670.32,1,649.11
T1279,646,16,663.37,4,649.13
T1280,753,17,673.05,1,650.77
T1281,462,15,665.97,5,650.8
T1282,359,10,661.89,1,651.76
T1283,357,11,661.95,5,655.61
T1284,469,13,670.09,5,655.89
T1285,557,24,667.73,3,655.94
T1286,772,16,674.2,4,656.61
T1287,728,15,675.52,2,656.94
T1288,701,20,674.46,1,658.32
T1289,353,6,664.96,2,658.37
T1290,282,20,666.05,4,658.58
T1291,467,13,671.09,5,659.3
T1292,320,17,665.09,2,659.48
T1293,496,10,669.1,4,660.77
T1294,453,10,673.61,5,661.68
T1295,414,14,669.66,2,662.12
T1296,606,16,676.29,4,662.18
T1297,319,10,671.43,4,663.59
T1298,695,23,679.51,3,665.1
T1299,394,8,673.26,3,665.41
T1300,302,18,671.94,4,665.52
T1301,441,17,674.4,2,665.85
T1302,574,18,676.87,2,666.67
T1303,542,13,683.57,2,666.8
T1304,614,21,683.45,2,667.63
T1305,412,15,679.61,5,668.42
T1306,461,11,678.14,3,670.16
T1307,347,14,676.84,1,670.27
T1308,532,23,681.9,1,672.37
T1309,350,11,679.28,4,672.45
T1310,567,21,682.53,5,672.71
T1311,796,8,692.99,3,673.07
T1312,800,20,688.21,2,673.78
T1313,241,22,678.68,4,674.09
T1314,673,24,687.92,1,674.91
T1315,685,14,687.63,5,675.09
T1316,611,13,685.67,4,675.13
T1317,593,10,692.32,4,675.29
T1318,788,13,691.97,4,676.04
T1319,222,11,681.95,5,676.43
T1320,739,22,694.14,5,676.67
T1321,709,10,694.14,2,676.97
T1322,397,10,685.71,1,678.05
T1323,466,11,690.06,2,678.09
T1324,412,22,689.88,4,678.33
T1325,713,20,691.97,2,678.39
T1326,553,14,693.92,3,678.41
T1327,397,24,689.96,2,678.79
T1328,231,6,685.6,1,679.05
T1329,403,10,692.51,4,679.39
T1330,774,16,699.43,5,679.47
T1331,700,21,692.92,3,679.96
T1332,693,19,697.25,5,680.66
T1333,427,13,691.43,4,680.67
T1334,637,8,698.3,2,680.89
T1335,729,23,699.56,1,680.93
T1336,258,23,689.07,1,681.29
T1337,554,12,698.67,1,682.6
T1338,427,8,692.76,5,682.63
T1339,666,15,695.63,2,682.65
T1340,716,8,702.17,3,684.92
T1341,405,23,695.14,3,685.48
T1342,707,11,706.07,5,685.66
T1343,690,14,706.42,2,686.17
T1344,776,12,707.94,3,686.57
T1345,672,12,703.96,4,686.85
T1346,757,6,703.79,2,687.01
T1347,233,12,693.61,2,688.27
T1348,672,15,703.91,2,688.44
T1349,208,14,694.38,2,689.21
T1350,326,20,700.59,1,689.82
T1351,468,16,699.87,3,691.05
T1352,563,23,708.01,3,691.52
T1353,334,20,701.61,1,694.43
T1354,482,18,702.84,5,694.51
T1355,792,6,715.0,3,694.8
T1356,632,13,711.71,3,695.77
T1357,745,18,716.14,5,696.48
T1358,361,10,706.32,3,696.74
T1359,401,24,709.54,4,697.08
T1360,434,11,708.1,4,698.39
T1361,772,24,711.79,3,698.39
T1362,503,18,711.89,2,698.76
T1363,275,13,706.4,1,699.2
T1364,262,22,706.46,3,699.43
T1365,594,24,718.15,3,699.69
T1366,770,16,723.51,5,699.76
T1367,425,12,711.66,2,700.07
T1368,689,12,721.29,4,700.12
T1369,669,13,722.15,1,700.53
T1370,554,20,714.91,5,700.57
T1371,747,17,723.0,5,702.05
T1372,500,14,718.37,5,702.34
T1373,548,15,712.42,3,702.45
T1374,747,16,716.16,2,702.97
T1375,354,13,709.32,1,703.38
T1376,322,15,711.82,5,704.21
T1377,209,19,709.34,4,704.74
T1378,319,17,715.01,1,704.83
T1379,326,19,714.75,3,705.37
T1380,610,17,718.54,4,705.73
T1381,532,15,717.08,2,705.77
T1382,632,11,722.95,2,705.86
T1383,203,6,711.28,1,706.75
T1384,602,18,719.16,2,706.85
T1385,729,7,732.86,4,708.92
T1386,365,23,721.56,3,709.39
T1387,499,12,720.0,4,711.42
T1388,783,21,732.4,5,712.07
T1389,428,7,722.93,5,712.16
T1390,581,19,725.53,1,712.6
T1391,530,7,726.52,5,712.94
T1392,293,12,719.23,2,713.15
T1393,679,21,737.15,3,714.56
T1394,677,10,726.69,5,714.74
T1395,301,8,721.89,2,715.52
T1396,708,21,729.46,5,715.57
T1397,721,17,733.64,3,715.74
T1398,294,15,726.0,1,717.2
T1399,257,11,722.97,2,717.32
T1400,494,16,729.41,2,717.99
T1401,644,8,730.4,3,719.44
T1402,203,23,726.04,2,720.46
T1403,512,23,730.79,3,721.59
T1404,763,7,739.85,3,721.76
T1405,503,14,737.19,1,722.08
T1406,556,6,738.56,4,722.3
T1407,750,19,745.32,1,722.34
T1408,231,7,729.62,4,722.74
T1409,236,23,728.61,4,722.98
T1410,787,22,743.41,2,723.04
T1411,263,10,729.65,4,724.02
T1412,533,13,737.91,3,724.09
T1413,325,14,734.11,3,724.98
T1414,328,10,733.91,3,725.41
T1415,470,14,740.01,5,725.74
T1416,400,18,736.04,1,726.84
T1417,205,22,731.96,5,727.56
T1418,239,22,735.28,2,728.25
T1419,375,10,740.04,4,728.36
T1420,777,12,745.39,1,729.61
T1421,203,23,735.66,5,729.74
T1422,767,22,754.8,4,730.28
T1423,742,21,752.82,4,730.73
T1424,226,22,737.27,4,731.37
T1425,622,6,743.28,4,731.66
T1426,736,24,747.93,5,732.39
T1427,395,21,745.46,4,732.9
T1428,555,21,748.19,4,733.61
T1429,320,16,742.23,3,733.83
T1430,688,8,756.49,4,734.57
T1431,437,21,748.94,1,735.42
T1432,231,16,740.46,5,735.45
T1433,735,23,752.35,2,736.04
T1434,599,14,752.99,3,736.09
T1435,545,16,748.76,3,736.14
T1436,465,17,746.84,4,737.6
T1437,606,17,756.96,5,738.37
T1438,545,14,750.74,2,738.48
T1439,413,7,749.97,4,738.57
T1440,430,10,747.48,5,738.58
T1441,664,15,760.17,5,739.35
T1442,522,15,753.86,3,739.59
T1443,766,6,756.65,2,739.74
T1444,597,18,749.85,1,739.84
T1445,518,12,749.38,4,740.0
T1446,345,15,749.77,5,740.27
T1447,654,19,754.93,3,740.85
T1448,359,10,748.21,5,740.97
T1449,638,8,757.54,1,740.97
T1450,722,24,762.59,2,741.66
T1451,380,20,752.89,1,742.05
T1452,327,18,749.61,2,742.22
T1453,787,18,767.22,1,742.42
T1454,701,18,764.28,2,742.88
T1455,273,15,749.03,5,743.18
T1456,226,21,750.43,3,743.68
T1457,628,6,755.64,1,744.29
T1458,797,18,767.76,3,744.66
T1459,269,11,750.92,4,744.85
T1460,224,16,751.88,4,744.96
T1461,335,13,755.5,3,745.15
T1462,706,16,765.08,4,745.92
T1463,758,11,770.01,3,746.83
T1464,232,10,752.0,2,747.17
T1465,481,23,761.76,4,747.85
T1466,740,12,761.81,3,747.96
T1467,777,7,764.09,4,748.76
T1468,766,10,766.43,4,749.74
T1469,298,12,757.24,3,750.03
T1470,751,22,770.84,5,750.38
T1471,266,21,756.61,2,750.74
T1472,788,23,776.75,1,751.83
T1473,603,18,767.5,5,752.56
T1474,491,22,768.18,4,753.41
T1475,298,11,764.11,2,754.47
T1476,491,6,763.47,5,754.81
T1477,471,10,766.18,3,755.28
T1478,455,22,769.93,3,755.39
T1479,242,18,762.68,2,755.67
T1480,752,24,776.01,1,756.01
T1481,790,11,769.63,1,756.24
T1482,393,8,763.7,5,756.27
T1483,675,15,774.58,5,756.6
T1484,249,17,763.93,1,756.99
T1485,315,13,767.23,5,757.12
T1486,430,18,765.33,3,757.84
T1487,627,12,768.79,1,758.11
T1488,357,23,766.55,4,758.47
T1489,721,6,773.82,3,758.89
T1490,631,12,778.12,3,759.65
T1491,639,7,779.57,1,759.99
T1492,467,10,769.62,1,760.71
T1493,283,15,767.37,2,761.52
T1494,585,16,772.99,2,762.19
T1495,368,6,772.98,2,762.34
T1496,418,20,773.2,1,762.64
T1497,755,21,776.52,1,762.92
T1498,713,16,786.43,5,763.45
T1499,657,13,781.24,3,764.21
T1500,397,10,776.26,2,765.27
T1501,377,23,774.34,5,765.59
T1502,262,18,772.53,2,765.85
T1503,519,12,775.99,4,766.5
T1504,355,17,777.4,1,766.52
T1505,354,16,773.99,3,767.6
T1506,680,11,785.45,2,767.72
T1507,531,22,779.99,4,767.93
T1508,654,11,787.11,4,768.79
T1509,397,24,778.86,2,768.87
T1510,244,12,774.13,3,769.96
T1511,586,24,788.29,2,769.97
T1512,725,13,793.1,4,770.04
T1513,312,11,776.69,4,770.81
T1514,671,14,785.58,5,771.21
T1515,202,11,779.55,5,773.07
T1516,207,12,779.68,2,773.14
T1517,545,17,785.58,4,773.44
T1518,789,10,787.67,3,773.78
T1519,604,8,793.4,1,773.85
T1520,620,15,790.57,2,774.57
T1521,687,24,793.24,2,774.74
T1522,786,13,795.6,3,774.9
T1523,657,7,795.42,2,774.95
T1524,584,18,788.26,3,775.09
T1525,245,13,781.22,3,775.29
T1526,621,22,794.86,3,775.32
T1527,411,15,785.26,1,775.4
T1528,298,10,784.82,5,776.13
T1529,315,24,785.99,3,777.21
T1530,447,14,791.33,3,777.22
T1531,543,24,789.5,1,777.31
T1532,424,6,790.04,1,778.01
T1533,500,21,791.2,2,778.98
T1534,656,15,792.04,3,779.05
T1535,513,14,791.79,4,780.47
T1536,247,11,784.94,5,780.6
T1537,202,16,786.55,2,781.12
T1538,658,21,801.66,3,781.4
T1539,275,13,790.61,1,782.02
T1540,648,22,794.3,4,782.19
T1541,488,6,793.47,5,782.24
T1542,656,16,798.65,2,782.46
T1543,634,10,800.22,4,782.71
T1544,201,20,788.66,1,783.06
T1545,357,20,791.11,5,783.29
T1546,552,8,793.77,4,783.38
T1547,743,17,799.75,1,783.7
T1548,453,15,798.06,5,784.14
T1549,704,22,807.77,2,785.79
T1550,213,12,790.76,3,786.64
T1551,216,18,792.05,3,786.65
T1552,474,22,798.56,5,787.62
T1553,698,14,805.87,5,787.79
T1554,350,20,796.9,4,788.14
T1555,230,6,792.13,4,788.27
T1556,789,18,801.74,5,788.51
T1557,282,7,794.68,4,788.59
T1558,514,8,798.9,2,789.01
T1559,366,23,801.2,2,789.29
T1560,563,21,808.08,5,789.96
T1561,240,21,795.52,1,790.39
T1562,393,10,798.93,4,790.66
T1563,504,23,802.18,5,790.78
T1564,653,15,803.32,1,791.2
T1565,277,21,798.89,3,791.32
T1566,768,20,804.4,3,791.33
T1567,628,24,803.91,4,791.67
T1568,757,20,807.37,5,792.04
T1569,401,17,801.37,5,792.25
T1570,287,18,799.15,2,793.14
T1571,450,14,806.0,1,793.65
T1572,581,22,807.91,2,794.71
T1573,723,17,819.03,1,794.95
T1574,237,17,802.6,3,795.16
T1575,521,20,809.38,4,795.32
T1576,691,6,816.62,3,795.82
T1577,437,22,808.48,5,796.11
T1578,226,18,803.31,5,796.2
T1579,770,19,816.83,1,796.35
T1580,763,19,816.81,2,796.71
T1581,673,11,809.89,1,798.09
T1582,496,6,810.31,1,798.58
T1583,797,16,812.46,2,799.04
T1584,630,23,820.25,5,799.41
T1585,631,6,818.86,4,800.63
T1586,482,19,809.15,1,800.68
T1587,474,7,814.16,1,801.57
T1588,207,7,807.42,3,801.99
T1589,680,18,820.62,5,802.05
T1590,778,24,822.73,3,802.24
T1591,368,17,809.46,2,802.26
T1592,556,23,815.61,5,802.56
T1593,615,20,812.87,1,802.59
T1594,583,17,813.8,1,802.63
T1595,620,19,819.25,2,803.09
T1596,728,12,826.67,3,803.78
T1597,408,21,813.38,3,804.6
T1598,696,14,826.97,1,804.97
T1599,772,17,827.5,4,805.71
T1600,253,19,812.99,3,805.97
T1601,524,15,816.33,3,806.59
T1602,366,6,816.83,3,806.74
T1603,455,13,818.11,4,807.58
T1604,695,11,826.79,3,808.07
T1605,419,20,818.83,4,808.13
T1606,578,22,827.75,1,808.67
